	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	BH_p
106	73167	66866	60351	53400	73764	75413	26537	0	47827	0	18229	25105	89809	29661	30759	0	0	0	80092	59450	0	0	0	46879	0	0	22867	11675	61244	7639	25821	32024.4666666667	30592.047296229	48.6590835208907	1.11479173463932e-09	8.45012134856604e-07	7.97181259298684e-09
107	9365	14644	13023	9315	15618	15150	3232	70	7732	136	4264	8664	13700	5395	10381	0	1023	0	13811	10413	0	29	0	9734	64	0	4949	5782	7693	4963	5588.5	6305	5458.76854244618	48.4969870351601	1.15478993973483e-09	8.75330774319004e-07	8.18066144223368e-09
108	157281	149111	131558	142037	144912	164849	133871	0	144687	0	124149	189457	258161	89515	136989	0	83133	0	161615	145054	0	0	0	119434	0	0	87897	112589	132720	86247	121791.5	96508.8666666667	72060.5447674975	48.1160390408811	1.25498892287875e-09	9.51281603542091e-07	8.8081629957601e-09
109	12240	9813	7972	9847	11748	11595	4643	0	8156	0	0	0	8975	8077	0	0	0	0	11593	8233	0	0	0	0	0	0	0	0	9831	6569	0	4309.73333333333	4905.0320673375	47.5117699117761	1.43358006678112e-09	1.08665369062009e-06	9.96929991394576e-09
110	34768	32630	29819	31875	30032	35610	30128	0	31750	0	31955	45870	54623	21404	30001	0	18894	0	36322	33403	0	0	0	24095	14578	0	23964	26502	28922	23666	27712	22360.3666666667	15525.5549547842	47.016341756684	1.60038647531935e-09	1.21309294829207e-06	1.10281177117461e-08
111	1701	2710	2167	1606	2963	2807	0	0	1330	0	0	1565	0	980	0	0	169	0	2471	1767	11	0	0	1722	0	0	0	0	3230	0	5.5	906.633333333333	1134.7982498295	46.4089846245458	1.83385261456426e-09	1.39006028183971e-06	1.25230656021595e-08
112	136016	132957	125619	132346	123110	142508	98464	0	137054	0	42821	126035	196100	70517	96434	0	87779	0	147498	133301	0	0	0	85751	0	0	69798	92062	117277	68190	89920.5	78721.2333333333	59967.2542445736	46.0860378597644	1.97267260635622e-09	1.49528583561802e-06	1.32396833040446e-08
113	98689	106538	98144	81938	99400	117107	69934	0	93060	0	71400	104853	141766	48960	76418	0	0	70532	102277	84037	0	0	0	79001	0	0	51259	57130	93963	50311	70966	59890.5666666667	44486.2135805778	46.0836818860653	1.97372587514121e-09	1.49608421335703e-06	1.32396833040446e-08
114	17293	13815	13143	14220	12750	15698	12221	6153	12443	2972	10004	12724	18717	11698	5721	0	5262	5805	13180	14138	0	0	0	13859	0	0	6942	7733	15122	6674	10851	8942.9	5917.79674372143	45.2220666146194	2.4026355637712e-09	1.82119775733857e-06	1.59754189240225e-08
115	15238	12335	12561	11792	9265	13610	19202	0	13690	0	18516	23323	31488	8837	14736	0	0	0	12421	11971	0	0	0	13814	0	0	10479	13289	13407	10863	11881.5	9694.56666666667	8168.39673072842	44.290723793914	2.98140564002367e-09	2.25990547513794e-06	1.96513519577212e-08
116	138171	132669	105725	122162	136560	151873	76229	0	87880	0	101853	144425	171862	74797	81551	0	72260	0	153075	127994	53727	0	0	100601	0	0	67227	79653	112387	66577	80602	78641.9333333333	56167.7311347271	44.0764308579041	3.13474262878829e-09	2.37613491262153e-06	2.04839216605304e-08
117	43765	41344	38027	39051	37799	45172	40807	0	39945	0	24635	0	70288	25982	36668	0	0	0	44068	41295	0	0	0	31729	0	0	26425	31943	37594	26272	29077	24093.6333333333	20302.6910352966	43.9111247900984	3.25881063026341e-09	2.47017845773966e-06	2.11126363909373e-08
118	19269	20276	20124	17065	22562	23915	15050	0	22684	0	16431	23919	35769	11554	17859	0	7259	0	19887	19503	0	0	0	19206	0	0	9502	12573	16481	9223	15740.5	12670.3666666667	9932.4043291376	43.8196234783538	3.32974468244115e-09	2.52394646929039e-06	2.13893768583931e-08
119	23640	22537	20266	19839	22063	24841	20209	0	21037	0	22216	0	38845	13682	21536	0	0	0	22436	21177	0	0	0	18472	0	0	14946	17372	20054	14891	17922	13335.3	11120.9271045861	43.1087757762362	3.94071543849681e-09	2.98706230238058e-06	2.51013638855511e-08
120	2520	2431	2009	2292	1922	1861	2130	0	1029	0	2062	2280	2825	2067	1388	0	0	0	3918	1378	2	0	0	1684	0	0	1118	1324	2029	1086	1383	1311.83333333333	1093.7117783141	42.9390867603274	4.10370538331905e-09	3.11060868055584e-06	2.5921739004632e-08
121	45396	64884	67274	48478	58905	64525	43150	0	50766	9192	53181	82709	95200	27334	69563	6060	8906	0	68005	57229	5696	2436	0	57996	11248	0	35270	45921	39712	33754	44273	38426.3333333333	28123.873341827	42.788111599834	4.25481528200932e-09	3.22514998376306e-06	2.64737299710944e-08
122	63949	55958	51645	56600	55725	66412	58082	0	64266	0	61487	87304	106633	39608	53783	0	0	39819	65538	60223	0	0	0	46886	24036	0	47570	50189	55801	46420	50917	41931.1333333333	29321.6848292009	42.7821110672441	4.26094334627113e-09	3.22979505647352e-06	2.64737299710944e-08
